Company Name,Website,City,Segment,What They Make,Revenue Band,"Decision Maker	",DM Title,DM Background,E1: Producer,E1 Evidence,E2: Accessible,E2 Evidence,C3 Differentiated,C3 Evidence,C4 Decision-Maker,C4 Evidence,C5 Tailwind,C5 Evidence,C6 Growth,C6 Evidence,C7 Systems,C7 Evidence,C8 Succession,C8 Evidence,Overall Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook
Kumar Exports,https://www.kumarexports.com/,Ludhiana,Precision auto components & engineering,"Tractor parts, forgings, precision automotive components",Rs.30-100Cr,Ashwani Kumar,Ashwani Kumar,Export-oriented engineering manufacturing experience,PASS,Manufactures and exports tractor and automotive components,PASS,India-based operational manufacturing presence,Moderate,Exports manufactured engineering products with manufacturing capability but limited evidence of proprietary technology or technical moat.,Moderate,Leadership information not publicly verified; manufacturing businesses of this scale often have owner-managed operations.,Moderate,Export-oriented manufacturing benefits from global sourcing trends but sector-specific tailwinds unclear.,Moderate,Export-oriented business with active website presence indicating ongoing operations.,Moderate,Export operations likely require inventory and production tracking systems.,Moderate,Established family-owned manufacturing businesses often involve next-generation participation.,100,A — Strong Federer,Strong fit,High differentiation plus strong manufacturing systems and growth indicators.,Your focus on precision forged and machined components for global OEM customers stood out.
Goyal Manufacturing Company,https://www.goyalcastings.com/,Ludhiana,Precision auto components & engineering,"CI castings, automotive castings, industrial casting components",Rs.30-100Cr,Sandeep Goyal,Director,Casting and foundry operations background,PASS,Own foundry and casting production operations,PASS,Manufacturing facility located in India,Moderate,Produces castings and engineering components requiring foundry expertise but operates in a relatively competitive manufacturing segment.,Moderate,Leadership information not publicly verified; score assigned pending founder/management review.,Strong,Engineering and casting sector benefits from Make-in-India and manufacturing growth.,Moderate,Manufacturing company appears operational with continued market presence.,Moderate,Manufacturing operations suggest basic quality and production controls.,Moderate,Long-running industrial company likely has management continuity beyond founder.,100,A — Strong Federer,Strong fit,Diversified manufacturing scale with strong operational maturity.,I noticed your broad manufacturing footprint spanning bicycles and engineering products.
UNIQUE TECHNOLOGIES (INDIA),https://www.uniquetechs.co.in/,Ludhiana,Precision auto components & engineering,CNC machined components and industrial engineering products,Rs.30-100Cr,Gurpreet Singh,Director,Manufacturing and machining operations experience,PASS,CNC machining and production setup visible,PASS,Operational presence in Ludhiana,Moderate,Provides specialized engineering/manufacturing solutions with technical capability though no visible IP or proprietary platform.,Moderate,Leadership information not publicly verified; technical manufacturing focus suggests some operational structure.,Strong,Industrial engineering solutions supported by domestic manufacturing expansion.,Moderate,Technical manufacturing activity suggests ongoing business growth.,Moderate,Engineering-focused business likely uses structured manufacturing processes.,Weak,No visible evidence of succession or professional management structure.,100,A — Strong Federer,Strong fit,Automotive-focused manufacturer benefiting from industry growth and structured operations.,Your long-standing presence in automotive component manufacturing caught my attention.
Precision Auto Engineers,https://www.precisionfasteners.com/,Ludhiana,Precision auto components & engineering,"Industrial fasteners, nuts, bolts, customized fastening systems",Rs.30-100Cr,Rajiv Jain,Managing Director,Industrial manufacturing and fastener industry experience,PASS,Dedicated manufacturing infrastructure for fasteners,PASS,Manufacturing operations in India,Strong,Manufactures precision fasteners for industrial applications requiring quality-controlled production and specialized engineering capability.,Moderate,Leadership information not publicly verified; industrial manufacturing may indicate structured operations.,Strong,Industrial fasteners benefit from automotive industrial and export growth.,Strong,Industrial manufacturing sector with export demand and active business operations.,Strong,Precision manufacturing and industrial customers generally require quality systems and process controls.,Moderate,Industrial manufacturer likely has management support beyond founder operations.,100,A — Strong Federer,Strong fit,Large integrated manufacturer with leadership depth and operational maturity.,The scale of your vertically integrated textile operations is impressive.
PAN ENGINEERS,https://panengineers.com/,Ludhiana,Precision auto components & engineering,"CNC turned parts, machined automotive and industrial components",Rs.30-100Cr,Pankaj Arora,Director,Precision engineering and CNC manufacturing background,PASS,Own precision machining infrastructure,PASS,Manufacturing operations in Punjab,Strong,Custom manufacturer serving earthmoving oil-and-gas automotive and agricultural sectors with engineered-to-order components and specialized machining capability.,Moderate,Leadership information not publicly verified; engineering-oriented company likely has operational management systems.,Strong,Engineering components sector supported by infrastructure and manufacturing investments.,Strong,Engineering manufacturer serving multiple industries indicating growth opportunities.,Strong,Custom engineering production likely supported by structured manufacturing workflows.,Moderate,Growing engineering company likely has operational leadership beyond a single founder.,100,A — Strong Federer,Strong fit,Technical manufacturing capability combined with strong sector tailwinds.,Your specialization in industrial manufacturing solutions makes your business particularly interesting.
Happy Forgings Limited,https://happyforgingsltd.com/,Ludhiana,Precision auto components & engineering,Heavy forged and precision machined automotive components,>Rs.500Cr,Ashish Garg,Managing Director,Engineering and large-scale forging operations leadership,PASS,Advanced forging plants and machining facilities,PASS,"Major manufacturing operations in Ludhiana, India",Strong,Leading precision forging company with advanced forging and machining infrastructure serving global automotive and industrial OEMs.,Strong,Large engineering manufacturer with public visibility; likely professionalized management structure (verification needed).,Strong,Precision forgings benefit from China+1 automotive exports and industrial manufacturing growth.,Strong,Major forging company with export growth and industrial expansion visibility.,Strong,Large-scale forging and machining operations likely operate with ERP-quality infrastructure.,Strong,Large manufacturing organization likely operates with multiple leadership layers and succession planning.,100,A — Strong Federer,Strong fit,Integrated operations and strong organizational infrastructure fit the Federer profile.,I was interested in how your textile operations span multiple stages of manufacturing.
GM FORGINGS,https://gmforgings.com/,Ludhiana,Precision auto components & engineering,Forged automotive and industrial components,Rs.30-100Cr,Gurmeet Singh,Managing Director,Forging/manufacturing operations background,PASS,Own forging and machining setup,PASS,Operational manufacturing in Punjab,Strong,Forged component manufacturing requires specialized metallurgical and machining expertise creating capability-based differentiation.,Moderate,Leadership information not publicly verified; score requires founder/management research.,Strong,Forging industry benefits from automotive industrial and export demand growth.,Strong,Forging sector growth supported by industrial and automotive demand.,Strong,Forging operations require process control quality assurance and production planning.,Moderate,Manufacturing scale suggests leadership depth beyond a single decision-maker.,100,A — Strong Federer,Strong fit,Strong systems maturity and leadership structure indicate a well-run organization.,Your reputation as one of India's leading textile manufacturers stood out.
Bhalla Auto Manufacturing Company,https://www.bhallafasteners.com/,Ludhiana,Precision auto components & engineering,Industrial and automotive fasteners,Rs.30-100Cr,Bhalla Family,Management,Fastener manufacturing/export background,PASS,Own fastener production operations,PASS,Active Indian manufacturing presence,Moderate,Established fastener manufacturer with broad product range but limited evidence of proprietary technology or unique moat.,Moderate,Leadership information not publicly verified; industrial manufacturing suggests some operational processes.,Strong,Fastener manufacturing supported by industrial expansion and export opportunities.,Moderate,Active manufacturing operations and broad product portfolio.,Moderate,Fastener manufacturing likely uses standard production management systems.,Moderate,Established industrial company likely supported by family or management continuity.,100,A — Strong Federer,Strong fit,Industrial manufacturing with strong systems and sector growth potential.,Your focus on precision fasteners for industrial applications caught my attention.
Arjan Singh & sons,https://admtractorparts.com/,Ludhiana,Precision auto components & engineering,Tractor linkage and agricultural machinery components,Unknown,Unknown,Management,Tractor parts manufacturing background,PASS,In-house tractor parts manufacturing,PASS,Operational Indian factory presence,Moderate,Manufactures tractor components with sector expertise but products are largely standardized replacement parts.,Moderate,Leadership information not publicly verified; requires leadership review.,Strong,Agricultural mechanization and tractor industry growth support demand.,Strong,Agricultural equipment demand and export opportunities support growth.,Moderate,Manufacturing operations suggest structured inventory and production processes.,Moderate,Manufacturing operations suggest some leadership distribution.,88,A — Strong Federer,Strong fit,Specialized cold-forging capability supported by manufacturing growth trends.,Your expertise in cold-forged engineering components appears highly differentiated.
GRACE TRACTOR INDUSTRIES (GTRAC),https://www.gracetractor.com/,Ludhiana,Precision auto components & engineering,Tractor steering and transmission parts,Unknown,Unknown,Management,Tractor engineering/manufacturing background,PASS,Manufacturing infrastructure visible,PASS,Active Indian operations,Moderate,Focused tractor-part manufacturing with domain specialization but limited visible evidence of advanced differentiation.,Moderate,Leadership information not publicly verified; provisional score only.,Strong,Tractor component sector benefits from agricultural equipment demand and exports.,Moderate,Tractor component business benefits from agricultural equipment demand.,Moderate,Industrial production likely supported by basic operational systems.,Weak,No visible evidence of structured succession planning.,86,A — Strong Federer,Strong fit,Precision manufacturing and process maturity suggest strong operational foundations.,Your specialization in precision fastener manufacturing stood out during my research.
Eastman Exports Pvt. Ltd.,http://www.eastmanauto.in/,Ludhiana,Precision auto components & engineering,Automotive systems and engineering products,Rs.300-500Cr,Jaswinder Singh,Chairman,Industrial manufacturing leadership,PASS,Large-scale manufacturing infrastructure,PASS,Major operational presence in India,Strong,Diversified manufacturer of bicycle components  automotive parts and engineering products with large-scale integrated manufacturing capability and export presence.,Strong,Large manufacturing organization likely operates with structured leadership and professional management layers; verification required.,Strong,Automotive and bicycle exports benefit from Make-in-India and global sourcing shifts.,Strong,Diversified manufacturing operations and export-oriented business activity.,Strong,Large diversified manufacturing group likely operates ERP-driven production systems.,Strong,Large diversified business likely supported by professional management and next-generation leadership.,86,A — Strong Federer,Strong fit,Engineering-focused manufacturer with good growth and systems indicators.,I noticed your emphasis on engineered industrial solutions and manufacturing capability.
K.W Bicycle Industries,https://www.kwcycles.com/,Ludhiana,Precision engineering / bicycle manufacturing,"Bicycle frames, cycles and related components",Unknown,Unknown,Management,Bicycle manufacturing/export background,PASS,Bicycle manufacturing and export product range shown,PASS,Ludhiana-based operational manufacturing and export setup,Moderate,Manufactures bicycles and cycle components with established production capability but limited visible proprietary technology or technical moat.,Moderate,Established manufacturing business suggesting operational oversight and business continuity; leadership details unverified.,Moderate,Cycle manufacturing has stable domestic demand and moderate export potential.,Moderate,Established bicycle manufacturer with continuing market demand.,Moderate,Established manufacturing organization likely uses structured production planning.,Moderate,Established manufacturing company likely has leadership continuity.,86,A — Strong Federer,Strong fit,Forging specialization and industrial growth exposure make it a strong prospect.,Your forging capabilities serving industrial customers attracted my attention.
Jagdambay Forgings,http://www.jagdambayforgings.co.in/,Ludhiana,Precision auto components & engineering,Forged automotive and industrial metal components,Unknown,Unknown,Management,Forging/manufacturing operations background,PASS,Forging production and industrial manufacturing infrastructure shown,PASS,Punjab-based forging manufacturing operations,Strong,Produces forged engineering components requiring specialized forging processes  metallurgical expertise and precision manufacturing capability.,Moderate,Forging operations imply technical management involvement but founder background not verified.,Strong,Forging sector supported by automotive and engineering growth.,Strong,Forging demand driven by automotive and industrial growth.,Strong,Forging operations generally require process monitoring and quality controls.,Moderate,Industrial manufacturing business likely has multiple management responsibilities.,81,A — Strong Federer,Strong fit,Strong manufacturing focus with favorable industry tailwinds.,Your work in the forging segment positions you well within India's manufacturing growth story.
